紅2	44	46
	磺溪底	返	25.141110,121.550310
	陽明天主堂	返	25.139120,121.545740
	文化大學(一)	返	25.137692,121.540450
	陽明天主堂	返	25.139120,121.545740
	文化大學	返	25.138175,121.546567
	山仔后派出所	返	25.134850,121.545942
	格致國中	返	25.131008,121.546917
	下竹林	返	25.129542,121.547708
	新安	返	25.125108,121.550092
	白雲山莊	返	25.122725,121.551667
	明德新村	返	25.120058,121.552892
	陽明山國小	返	25.118008,121.552175
	福音	返	25.114192,121.550450
	陽明教養院	返	25.110650,121.548650
	永福(林語堂故居)	返	25.109308,121.547058
	永嶺	返	25.106900,121.545333
	拔子埔	返	25.105067,121.543783
	嶺頭	返	25.103242,121.541733
	華興中學	返	25.104167,121.538317
	芝蘭新村	返	25.107267,121.536983
	岩山里一	返	25.103475,121.537033
	岩山里	返	25.101817,121.537575
	泰北中學	返	25.097725,121.534083
	士林官邸(中正)	返	25.096600,121.531600
	福林國小	返	25.096217,121.529692
	捷運士林站(中山)	返	25.092808,121.527767
	台電台北北區營業處	返	25.090717,121.527458
	銘傳大學	返	25.088175,121.527042
	捷運劍潭站(中山)	返	25.085575,121.525583
紅7	22	21
	捷運劍潭站(基河)	去	25.085028,121.525033
	陽明戲院	去	25.087440,121.526022
	小北街	去	25.090870,121.526916
	士林區農會	去	25.093022,121.525506
	士林國中	去	25.094803,121.523351
	士林區行政中心(中正)	去	25.093771,121.520366
	陽明高中	去	25.091803,121.517360
	社子市場	去	25.087506,121.509074
	社正路	去	25.088835,121.509896
	國泰人壽大樓	去	25.090570,121.509540
	社子公園	去	25.091796,121.507024
	永平街口	去	25.092367,121.504647
	永倫里	去	25.091683,121.502143
	永倫里(延平)	去	25.091025,121.500833
	喬美站	去	25.093239,121.498728
	中窟	去	25.095340,121.496490
	許英媽廟	去	25.099140,121.495490
	福安宮	去	25.100610,121.496000
	明安宮	去	25.102070,121.496080
	工業區	去	25.104200,121.495800
	浮洲活動中心	去	25.109780,121.490040
	萬金路口	去	25.109301,121.486500
	沙埔	返	25.106100,121.486820
	福安國中	返	25.103350,121.487230
	臨江園	返	25.101700,121.489150
	地藏禪寺	返	25.099560,121.491680
	下竹圍	返	25.098160,121.493330
	福安消防隊	返	25.097070,121.494610
	福安里	返	25.096333,121.495000
	普濟堂	返	25.094170,121.497390
	永倫里	返	25.091502,121.502148
	永平街口	返	25.092274,121.504769
	社子公園	返	25.091640,121.507200
	國泰人壽大樓	返	25.090560,121.509420
	社正路	返	25.088936,121.509977
	社子市場	返	25.088046,121.508717
	陽明高中	返	25.092018,121.517976
	士林區行政中心(中正)	返	25.092838,121.519436
	士林國中	返	25.094668,121.523382
	士林國小	返	25.094130,121.524820
	小北街	返	25.090850,121.526740
	陽明戲院	返	25.087705,121.525921
	捷運劍潭站(中山)	返	25.085663,121.525356
紅7區	12	13
	永倫里	去	25.091502,121.502148
	永平街口	去	25.092274,121.504769
	社子公園	去	25.091640,121.507200
	國泰人壽大樓	去	25.090560,121.509420
	社正路	去	25.088936,121.509977
	社子市場	去	25.088046,121.508717
	陽明高中	去	25.092018,121.517976
	士林區行政中心(中正)	去	25.092838,121.519436
	士林國中	去	25.094668,121.523382
	士林國小	去	25.094333,121.525000
	小北街	去	25.091167,121.526667
	捷運劍潭站(基河)	去	25.085167,121.525000
	捷運劍潭站(中山)	返	25.085000,121.525000
	陽明戲院	返	25.087617,121.526000
	小北街	返	25.090333,121.526667
	士林區農會	返	25.093050,121.525360
	士林國中	返	25.094833,121.523333
	士林區行政中心(中正)	返	25.094000,121.520000
	陽明高中	返	25.092333,121.518333
	社子市場	返	25.087500,121.510000
	社正路	返	25.089000,121.510000
	國泰人壽大樓	返	25.090167,121.510000
	社子公園	返	25.091500,121.508333
	永平街口	返	25.092333,121.505000
	永倫里	返	25.091500,121.501667
紅9	27	25
	蘆洲總站	去	25.088600,121.466367
	捷運蘆洲站	去	25.090830,121.465040
	仁愛國小	去	25.089667,121.468333
	仁愛街口	去	25.091833,121.471667
	客運城	去	25.091500,121.475000
	臨時站	去	25.090833,121.476667
	樓厝	去	25.089833,121.478333
	復興路	去	25.088167,121.477583
	民權路口	去	25.087667,121.476667
	捷運三民高中站(復興路)	去	25.086167,121.475000
	捷運三民高中站	去	25.084833,121.475000
	鷺江國小(三民)	去	25.083167,121.475000
	溪墘	去	25.081833,121.476667
	捷運徐匯中學站(集賢路)	去	25.081667,121.480000
	尼加拉瓜公園	去	25.083833,121.481667
	集賢路	去	25.087000,121.483333
	五華街口	去	25.088333,121.485000
	分子尾	去	25.086338,121.489120
	新北高中	去	25.087667,121.490000
	五華國小	去	25.087833,121.493333
	重陽橋	去	25.086167,121.508333
	陽明高中	去	25.091167,121.516667
	士林區行政中心(中正)	去	25.092990,121.519560
	士林區行政中心(基河)	去	25.092790,121.520420
	公教住宅	去	25.090833,121.521667
	士林市場(銘傳會館)	去	25.088333,121.523333
	捷運劍潭站(基河)	去	25.084849,121.524748
	大南路口	返	25.087667,121.521667
	士商路	返	25.090833,121.520000
	陽明高中	返	25.092167,121.518333
	重陽橋	返	25.087000,121.510000
	五華國小	返	25.087167,121.495000
	新北高中	返	25.087500,121.490000
	分子尾	返	25.086093,121.489135
	五華街口	返	25.088667,121.485000
	集賢路	返	25.087167,121.483333
	尼加拉瓜公園	返	25.084333,121.481667
	捷運徐匯中學站(集賢路)	返	25.082167,121.480000
	民和公寓	返	25.081000,121.478333
	溪墘	返	25.081667,121.476667
	鷺江國小	返	25.082667,121.475000
	捷運三民高中站	返	25.084500,121.475000
	捷運三民高中站(復興路)	返	25.086500,121.475000
	民權路口	返	25.087500,121.476667
	復興路	返	25.089417,121.478167
	樓厝	返	25.090167,121.476667
	客運城	返	25.091167,121.475000
	仁愛街口	返	25.091667,121.471667
	仁愛國小	返	25.090667,121.470000
	民族路口	返	25.090753,121.466141
	捷運蘆洲站	返	25.091247,121.464788
	蘆洲總站	返	25.088833,121.466667
紅10	31	28
	富洲里	去	25.108920,121.470170
	台北海院	去	25.108766,121.470423
	浮線	去	25.106590,121.472640
	富洲里九段	去	25.106170,121.474260
	威靈廟	去	25.105899,121.476800
	下溪沙尾	去	25.105970,121.478840
	建安新村	去	25.106010,121.481160
	富安國小	去	25.105960,121.483300
	富洲里八段	去	25.105760,121.484460
	福安國中	去	25.103330,121.487290
	臨江園	去	25.101700,121.489150
	地藏禪寺	去	25.099560,121.491680
	下竹圍	去	25.098160,121.493330
	福安消防隊	去	25.097170,121.494550
	福安里	去	25.096360,121.495440
	普濟堂	去	25.094170,121.497390
	社子國小二	去	25.091180,121.500710
	社子國小	去	25.089810,121.502660
	社新里	去	25.089310,121.504400
	社子派出所	去	25.089410,121.505540
	社子市場二	去	25.089100,121.507880
	社子市場	去	25.087440,121.508900
	陽明高中	去	25.091803,121.517360
	士林區行政中心(中正)	去	25.092838,121.519435
	士林國中	去	25.094803,121.523351
	捷運士林站(中正)	去	25.095200,121.525747
	捷運士林站(中山)	去	25.092578,121.527486
	台電台北北區營業處	去	25.090720,121.527380
	銘傳大學	去	25.087720,121.527190
	捷運劍潭站(中山)	去	25.084849,121.524748
	捷運劍潭站(基河)	去	25.085430,121.525420
	小北街	返	25.090960,121.526830
	士林區農會	返	25.093250,121.525380
	士林國中	返	25.094668,121.523382
	士林區行政中心(中正)	返	25.093771,121.520366
	陽明高中	返	25.091250,121.517600
	社子市場	返	25.088180,121.508950
	社園里	返	25.088860,121.508220
	社子派出所	返	25.089590,121.505990
	社新里	返	25.089230,121.504270
	社子國小	返	25.089610,121.502900
	永倫里	返	25.090120,121.501900
	洲美橋	返	25.092700,121.499280
	中窟	返	25.095340,121.496490
	福安里	返	25.096120,121.495610
	福安消防隊	返	25.097070,121.494610
	下竹圍	返	25.098200,121.493330
	地藏禪寺	返	25.099560,121.491680
	臨江園	返	25.101630,121.489280
	福安國中	返	25.103350,121.487230
	富洲里八段	返	25.105630,121.484480
	富安國小	返	25.106010,121.483320
	建安新村	返	25.106030,121.481380
	下溪沙尾	返	25.105810,121.478860
	威靈廟	返	25.105770,121.476410
	富洲里九段	返	25.106140,121.474270
	浮線	返	25.106500,121.472800
	台北海院	返	25.108399,121.470660
	富洲里	返	25.108870,121.469970
紅12	20	21
	市立天文科學館	去	25.095413,121.518287
	科學教育館	去	25.095290,121.517340
	士林高商	去	25.094480,121.516940
	士林區行政中心(中正)	去	25.093000,121.520000
	士林國中	去	25.094667,121.523333
	捷運士林站(中正)	去	25.095167,121.525000
	福林橋	去	25.096833,121.528333
	忠誠公園	去	25.103833,121.525000
	雨農國小	去	25.105000,121.528333
	蘭雅新城	去	25.106833,121.530000
	蘭雅國中	去	25.109333,121.530000
	天母棒球場	去	25.113167,121.531667
	啟智學校	去	25.117167,121.535000
	三玉宮	去	25.118167,121.531667
	齊賢華廈	去	25.118500,121.525000
